Week,Description,GladItHappened
1,"Birth",-1
161,"Saw flying Santa Claus",-1
895,"Experienced general anesthesia",1
970,"Visited biological grandfather in Auroville, India",1
1125,"Immigrated to Finland as a student",1
1194,"Tried a psychedelic (1P-LSD)",1
1216,"Volunteered for Sentience Conference 2016",1
