Domain,Area,Element,Item,Year,Unit,Value
Live Animals,Germany,Stocks,Chickens,1973,1000 Head,143370
Live Animals,Germany,Stocks,Chickens,1974,1000 Head,142357
Live Animals,Germany,Stocks,Chickens,1975,1000 Head,136927
Live Animals,Germany,Stocks,Chickens,1976,1000 Head,135827
Live Animals,Germany,Stocks,Chickens,1977,1000 Head,136530
Live Animals,Germany,Stocks,Chickens,1978,1000 Head,138348
Live Animals,Germany,Stocks,Chickens,1979,1000 Head,137868
Live Animals,Germany,Stocks,Chickens,1980,1000 Head,136377
Live Animals,Germany,Stocks,Chickens,1981,1000 Head,135871
Live Animals,Germany,Stocks,Chickens,1982,1000 Head,132135
Live Animals,Germany,Stocks,Chickens,1983,1000 Head,131054
Live Animals,Germany,Stocks,Chickens,1984,1000 Head,128106
Live Animals,Germany,Stocks,Chickens,1985,1000 Head,130025
Live Animals,Germany,Stocks,Chickens,1986,1000 Head,121737
Live Animals,Germany,Stocks,Chickens,1987,1000 Head,122313
Live Animals,Germany,Stocks,Chickens,1988,1000 Head,122919
Live Animals,Germany,Stocks,Chickens,1989,1000 Head,121465
Live Animals,Germany,Stocks,Chickens,1990,1000 Head,121270
Live Animals,Germany,Stocks,Chickens,1991,1000 Head,106054
Live Animals,Germany,Stocks,Chickens,1992,1000 Head,95632
Live Animals,Germany,Stocks,Chickens,1993,1000 Head,98400
Live Animals,Germany,Stocks,Chickens,1994,1000 Head,101139
Live Animals,Germany,Stocks,Chickens,1995,1000 Head,101139
Live Animals,Germany,Stocks,Chickens,1996,1000 Head,104000
Live Animals,Germany,Stocks,Chickens,1997,1000 Head,102731
Live Animals,Germany,Stocks,Chickens,1998,1000 Head,105000
Live Animals,Germany,Stocks,Chickens,1999,1000 Head,107700
Live Animals,Germany,Stocks,Chickens,2000,1000 Head,107659
Live Animals,Germany,Stocks,Chickens,2001,1000 Head,108000
Live Animals,Germany,Stocks,Chickens,2002,1000 Head,109993
Live Animals,Germany,Stocks,Chickens,2003,1000 Head,109793
Live Animals,Germany,Stocks,Chickens,2004,1000 Head,110000
Live Animals,Germany,Stocks,Chickens,2005,1000 Head,107267
Live Animals,Germany,Stocks,Chickens,2006,1000 Head,107000
Live Animals,Germany,Stocks,Chickens,2007,1000 Head,114625
Live Animals,Germany,Stocks,Chickens,2008,1000 Head,114500
Live Animals,Germany,Stocks,Chickens,2009,1000 Head,114500
Live Animals,Germany,Stocks,Chickens,2010,1000 Head,114113
Live Animals,Germany,Stocks,Chickens,2011,1000 Head,118640
Live Animals,Germany,Stocks,Chickens,2012,1000 Head,121040
Live Animals,Germany,Stocks,Chickens,2013,1000 Head,160774
Live Animals,Germany,Stocks,Chickens,2014,1000 Head,121000
Live Animals,Germany,Stocks,Pigs,1961,Head,24102592
Live Animals,Germany,Stocks,Pigs,1962,Head,26071296
Live Animals,Germany,Stocks,Pigs,1963,Head,24914608
Live Animals,Germany,Stocks,Pigs,1964,Head,25931488
Live Animals,Germany,Stocks,Pigs,1965,Head,26905600
Live Animals,Germany,Stocks,Pigs,1966,Head,26600688
Live Animals,Germany,Stocks,Pigs,1967,Head,26994192
Live Animals,Germany,Stocks,Pigs,1968,Head,28286384
Live Animals,Germany,Stocks,Pigs,1969,Head,28254608
Live Animals,Germany,Stocks,Pigs,1970,Head,28560304
Live Animals,Germany,Stocks,Pigs,1971,Head,30652480
Live Animals,Germany,Stocks,Pigs,1972,Head,29980096
Live Animals,Germany,Stocks,Pigs,1973,Head,30388912
Live Animals,Germany,Stocks,Pigs,1974,Head,31300880
Live Animals,Germany,Stocks,Pigs,1975,Head,31752528
Live Animals,Germany,Stocks,Pigs,1976,Head,31306240
Live Animals,Germany,Stocks,Pigs,1977,Head,31880560
Live Animals,Germany,Stocks,Pigs,1978,Head,33143264
Live Animals,Germany,Stocks,Pigs,1979,Head,34375104
Live Animals,Germany,Stocks,Pigs,1980,Head,34505488
Live Animals,Germany,Stocks,Pigs,1981,Head,35424016
Live Animals,Germany,Stocks,Pigs,1982,Head,35179008
Live Animals,Germany,Stocks,Pigs,1983,Head,34584496
Live Animals,Germany,Stocks,Pigs,1984,Head,36506816
Live Animals,Germany,Stocks,Pigs,1985,Head,36807632
Live Animals,Germany,Stocks,Pigs,1986,Head,37227600
Live Animals,Germany,Stocks,Pigs,1987,Head,37342448
Live Animals,Germany,Stocks,Pigs,1988,Head,36172192
Live Animals,Germany,Stocks,Pigs,1989,Head,35053440
Live Animals,Germany,Stocks,Pigs,1990,Head,34177504
Live Animals,Germany,Stocks,Pigs,1991,Head,30818832
Live Animals,Germany,Stocks,Pigs,1992,Head,26063408
Live Animals,Germany,Stocks,Pigs,1993,Head,26514000
Live Animals,Germany,Stocks,Pigs,1994,Head,26075150
Live Animals,Germany,Stocks,Pigs,1995,Head,24698120
Live Animals,Germany,Stocks,Pigs,1996,Head,23736564
Live Animals,Germany,Stocks,Pigs,1997,Head,24282980
Live Animals,Germany,Stocks,Pigs,1998,Head,24795244
Live Animals,Germany,Stocks,Pigs,1999,Head,26293992
Live Animals,Germany,Stocks,Pigs,2000,Head,25633360
Live Animals,Germany,Stocks,Pigs,2001,Head,25783930
Live Animals,Germany,Stocks,Pigs,2002,Head,26103040
Live Animals,Germany,Stocks,Pigs,2003,Head,26334320
Live Animals,Germany,Stocks,Pigs,2004,Head,25659300
Live Animals,Germany,Stocks,Pigs,2005,Head,26857800
Live Animals,Germany,Stocks,Pigs,2006,Head,26521300
Live Animals,Germany,Stocks,Pigs,2007,Head,27125300
Live Animals,Germany,Stocks,Pigs,2008,Head,26686800
Live Animals,Germany,Stocks,Pigs,2009,Head,26948300
Live Animals,Germany,Stocks,Pigs,2010,Head,26509000
Live Animals,Germany,Stocks,Pigs,2011,Head,26758100
Live Animals,Germany,Stocks,Pigs,2012,Head,28131700
Live Animals,Germany,Stocks,Pigs,2013,Head,27690100
Live Animals,Germany,Stocks,Pigs,2014,Head,28338990
Live Animals,United States of America,Stocks,Cattle,1961,Head,97700000
Live Animals,United States of America,Stocks,Cattle,1962,Head,100369008
Live Animals,United States of America,Stocks,Cattle,1963,Head,104488000
Live Animals,United States of America,Stocks,Cattle,1964,Head,107903008
Live Animals,United States of America,Stocks,Cattle,1965,Head,109000000
Live Animals,United States of America,Stocks,Cattle,1966,Head,108862000
Live Animals,United States of America,Stocks,Cattle,1967,Head,108783008
Live Animals,United States of America,Stocks,Cattle,1968,Head,109371008
Live Animals,United States of America,Stocks,Cattle,1969,Head,110015008
Live Animals,United States of America,Stocks,Cattle,1970,Head,112369008
Live Animals,United States of America,Stocks,Cattle,1971,Head,114578000
Live Animals,United States of America,Stocks,Cattle,1972,Head,117862000
Live Animals,United States of America,Stocks,Cattle,1973,Head,121539008
Live Animals,United States of America,Stocks,Cattle,1974,Head,127788000
Live Animals,United States of America,Stocks,Cattle,1975,Head,132028000
Live Animals,United States of America,Stocks,Cattle,1976,Head,127980000
Live Animals,United States of America,Stocks,Cattle,1977,Head,122810000
Live Animals,United States of America,Stocks,Cattle,1978,Head,116375008
Live Animals,United States of America,Stocks,Cattle,1979,Head,110864000
Live Animals,United States of America,Stocks,Cattle,1980,Head,111242000
Live Animals,United States of America,Stocks,Cattle,1981,Head,114351008
Live Animals,United States of America,Stocks,Cattle,1982,Head,115444000
Live Animals,United States of America,Stocks,Cattle,1983,Head,115001008
Live Animals,United States of America,Stocks,Cattle,1984,Head,113360000
Live Animals,United States of America,Stocks,Cattle,1985,Head,109582000
Live Animals,United States of America,Stocks,Cattle,1986,Head,105378000
Live Animals,United States of America,Stocks,Cattle,1987,Head,102118000
Live Animals,United States of America,Stocks,Cattle,1988,Head,99622000
Live Animals,United States of America,Stocks,Cattle,1989,Head,96740000
Live Animals,United States of America,Stocks,Cattle,1990,Head,95816000
Live Animals,United States of America,Stocks,Cattle,1991,Head,96393000
Live Animals,United States of America,Stocks,Cattle,1992,Head,97556000
Live Animals,United States of America,Stocks,Cattle,1993,Head,99176000
Live Animals,United States of America,Stocks,Cattle,1994,Head,100976000
Live Animals,United States of America,Stocks,Cattle,1995,Head,102785000
Live Animals,United States of America,Stocks,Cattle,1996,Head,103548000
Live Animals,United States of America,Stocks,Cattle,1997,Head,101656000
Live Animals,United States of America,Stocks,Cattle,1998,Head,99744000
Live Animals,United States of America,Stocks,Cattle,1999,Head,99115000
Live Animals,United States of America,Stocks,Cattle,2000,Head,98198000
Live Animals,United States of America,Stocks,Cattle,2001,Head,97277000
Live Animals,United States of America,Stocks,Cattle,2002,Head,96723000
Live Animals,United States of America,Stocks,Cattle,2003,Head,96100000
Live Animals,United States of America,Stocks,Cattle,2004,Head,94888000
Live Animals,United States of America,Stocks,Cattle,2005,Head,95438000
Live Animals,United States of America,Stocks,Cattle,2006,Head,96701504
Live Animals,United States of America,Stocks,Cattle,2007,Head,96573000
Live Animals,United States of America,Stocks,Cattle,2008,Head,96034496
Live Animals,United States of America,Stocks,Cattle,2009,Head,94521000
Live Animals,United States of America,Stocks,Cattle,2010,Head,93881200
Live Animals,United States of America,Stocks,Cattle,2011,Head,92682400
Live Animals,United States of America,Stocks,Cattle,2012,Head,91160200
Live Animals,United States of America,Stocks,Cattle,2013,Head,90095200
Live Animals,United States of America,Stocks,Cattle,2014,Head,88526000
Live Animals,United States of America,Stocks,Chickens,1961,1000 Head,751000
Live Animals,United States of America,Stocks,Chickens,1962,1000 Head,782000
Live Animals,United States of America,Stocks,Chickens,1963,1000 Head,780000
Live Animals,United States of America,Stocks,Chickens,1964,1000 Head,792000
Live Animals,United States of America,Stocks,Chickens,1965,1000 Head,833500
Live Animals,United States of America,Stocks,Chickens,1966,1000 Head,851300
Live Animals,United States of America,Stocks,Chickens,1967,1000 Head,881700
Live Animals,United States of America,Stocks,Chickens,1968,1000 Head,887400
Live Animals,United States of America,Stocks,Chickens,1969,1000 Head,912700
Live Animals,United States of America,Stocks,Chickens,1970,1000 Head,920900
Live Animals,United States of America,Stocks,Chickens,1971,1000 Head,925000
Live Animals,United States of America,Stocks,Chickens,1972,1000 Head,935000
Live Animals,United States of America,Stocks,Chickens,1973,1000 Head,907000
Live Animals,United States of America,Stocks,Chickens,1974,1000 Head,909000
Live Animals,United States of America,Stocks,Chickens,1975,1000 Head,886800
Live Animals,United States of America,Stocks,Chickens,1976,1000 Head,926000
Live Animals,United States of America,Stocks,Chickens,1977,1000 Head,954000
Live Animals,United States of America,Stocks,Chickens,1978,1000 Head,1001000
Live Animals,United States of America,Stocks,Chickens,1979,1000 Head,1060000
Live Animals,United States of America,Stocks,Chickens,1980,1000 Head,1053000
Live Animals,United States of America,Stocks,Chickens,1981,1000 Head,1078000
Live Animals,United States of America,Stocks,Chickens,1982,1000 Head,1072000
Live Animals,United States of America,Stocks,Chickens,1983,1000 Head,1064000
Live Animals,United States of America,Stocks,Chickens,1984,1000 Head,1089000
Live Animals,United States of America,Stocks,Chickens,1985,1000 Head,1115000
Live Animals,United States of America,Stocks,Chickens,1986,1000 Head,1145000
Live Animals,United States of America,Stocks,Chickens,1987,1000 Head,1214000
Live Animals,United States of America,Stocks,Chickens,1988,1000 Head,1232000
Live Animals,United States of America,Stocks,Chickens,1989,1000 Head,1278000
Live Animals,United States of America,Stocks,Chickens,1990,1000 Head,1332000
Live Animals,United States of America,Stocks,Chickens,1991,1000 Head,1389000
Live Animals,United States of America,Stocks,Chickens,1992,1000 Head,1440000
Live Animals,United States of America,Stocks,Chickens,1993,1000 Head,1498000
Live Animals,United States of America,Stocks,Chickens,1994,1000 Head,1558000
Live Animals,United States of America,Stocks,Chickens,1995,1000 Head,1611000
Live Animals,United States of America,Stocks,Chickens,1996,1000 Head,1661000
Live Animals,United States of America,Stocks,Chickens,1997,1000 Head,1706000
Live Animals,United States of America,Stocks,Chickens,1998,1000 Head,1726000
Live Animals,United States of America,Stocks,Chickens,1999,1000 Head,1785000
Live Animals,United States of America,Stocks,Chickens,2000,1000 Head,1860000
Live Animals,United States of America,Stocks,Chickens,2001,1000 Head,1900000
Live Animals,United States of America,Stocks,Chickens,2002,1000 Head,1940000
Live Animals,United States of America,Stocks,Chickens,2003,1000 Head,1920000
Live Animals,United States of America,Stocks,Chickens,2004,1000 Head,1965000
Live Animals,United States of America,Stocks,Chickens,2005,1000 Head,1990000
Live Animals,United States of America,Stocks,Chickens,2006,1000 Head,1995000
Live Animals,United States of America,Stocks,Chickens,2007,1000 Head,2005000
Live Animals,United States of America,Stocks,Chickens,2008,1000 Head,2015000
Live Animals,United States of America,Stocks,Chickens,2009,1000 Head,1926000
Live Animals,United States of America,Stocks,Chickens,2010,1000 Head,1956000
Live Animals,United States of America,Stocks,Chickens,2011,1000 Head,1932000
Live Animals,United States of America,Stocks,Chickens,2012,1000 Head,1929600
Live Animals,United States of America,Stocks,Chickens,2013,1000 Head,1945900
Live Animals,United States of America,Stocks,Chickens,2014,1000 Head,1982900
Live Animals,United States of America,Stocks,Pigs,1961,Head,55560000
Live Animals,United States of America,Stocks,Pigs,1962,Head,61837008
Live Animals,United States of America,Stocks,Pigs,1963,Head,62726000
Live Animals,United States of America,Stocks,Pigs,1964,Head,62060000
Live Animals,United States of America,Stocks,Pigs,1965,Head,56106000
Live Animals,United States of America,Stocks,Pigs,1966,Head,50519008
Live Animals,United States of America,Stocks,Pigs,1967,Head,57125008
Live Animals,United States of America,Stocks,Pigs,1968,Head,58818000
Live Animals,United States of America,Stocks,Pigs,1969,Head,60829008
Live Animals,United States of America,Stocks,Pigs,1970,Head,57046000
Live Animals,United States of America,Stocks,Pigs,1971,Head,67285008
Live Animals,United States of America,Stocks,Pigs,1972,Head,62412000
Live Animals,United States of America,Stocks,Pigs,1973,Head,59017008
Live Animals,United States of America,Stocks,Pigs,1974,Head,60614000
Live Animals,United States of America,Stocks,Pigs,1975,Head,54693008
Live Animals,United States of America,Stocks,Pigs,1976,Head,49267008
Live Animals,United States of America,Stocks,Pigs,1977,Head,54934000
Live Animals,United States of America,Stocks,Pigs,1978,Head,56539008
Live Animals,United States of America,Stocks,Pigs,1979,Head,60356000
Live Animals,United States of America,Stocks,Pigs,1980,Head,67318000
Live Animals,United States of America,Stocks,Pigs,1981,Head,64462000
Live Animals,United States of America,Stocks,Pigs,1982,Head,58698000
Live Animals,United States of America,Stocks,Pigs,1983,Head,54534000
Live Animals,United States of America,Stocks,Pigs,1984,Head,56694000
Live Animals,United States of America,Stocks,Pigs,1985,Head,54073008
Live Animals,United States of America,Stocks,Pigs,1986,Head,52314000
Live Animals,United States of America,Stocks,Pigs,1987,Head,50920000
Live Animals,United States of America,Stocks,Pigs,1988,Head,54384000
Live Animals,United States of America,Stocks,Pigs,1989,Head,55466000
Live Animals,United States of America,Stocks,Pigs,1990,Head,53788000
Live Animals,United States of America,Stocks,Pigs,1991,Head,54416000
Live Animals,United States of America,Stocks,Pigs,1992,Head,57649000
Live Animals,United States of America,Stocks,Pigs,1993,Head,58202000
Live Animals,United States of America,Stocks,Pigs,1994,Head,57940000
Live Animals,United States of America,Stocks,Pigs,1995,Head,59738000
Live Animals,United States of America,Stocks,Pigs,1996,Head,58201000
Live Animals,United States of America,Stocks,Pigs,1997,Head,56124000
Live Animals,United States of America,Stocks,Pigs,1998,Head,61158000
Live Animals,United States of America,Stocks,Pigs,1999,Head,62206000
Live Animals,United States of America,Stocks,Pigs,2000,Head,59342000
Live Animals,United States of America,Stocks,Pigs,2001,Head,59138000
Live Animals,United States of America,Stocks,Pigs,2002,Head,59721600
Live Animals,United States of America,Stocks,Pigs,2003,Head,59554200
Live Animals,United States of America,Stocks,Pigs,2004,Head,60443700
Live Animals,United States of America,Stocks,Pigs,2005,Head,60975000
Live Animals,United States of America,Stocks,Pigs,2006,Head,61448900
Live Animals,United States of America,Stocks,Pigs,2007,Head,62515800
Live Animals,United States of America,Stocks,Pigs,2008,Head,68176800
Live Animals,United States of America,Stocks,Pigs,2009,Head,64887200
Live Animals,United States of America,Stocks,Pigs,2010,Head,64925000
Live Animals,United States of America,Stocks,Pigs,2011,Head,66360800
Live Animals,United States of America,Stocks,Pigs,2012,Head,66224000
Live Animals,United States of America,Stocks,Pigs,2013,Head,64774600
Live Animals,United States of America,Stocks,Pigs,2014,Head,67776300
Live Animals,China,Stocks,Cattle,1961,Head,49514057
Live Animals,China,Stocks,Cattle,1962,Head,46875560
Live Animals,China,Stocks,Cattle,1963,Head,47475507
Live Animals,China,Stocks,Cattle,1964,Head,49056062
Live Animals,China,Stocks,Cattle,1965,Head,52533452
Live Animals,China,Stocks,Cattle,1966,Head,53689871
Live Animals,China,Stocks,Cattle,1967,Head,56065909
Live Animals,China,Stocks,Cattle,1968,Head,56975300
Live Animals,China,Stocks,Cattle,1969,Head,57838346
Live Animals,China,Stocks,Cattle,1970,Head,57616205
Live Animals,China,Stocks,Cattle,1971,Head,57608007
Live Animals,China,Stocks,Cattle,1972,Head,57592971
Live Animals,China,Stocks,Cattle,1973,Head,57109536
Live Animals,China,Stocks,Cattle,1974,Head,56789300
Live Animals,China,Stocks,Cattle,1975,Head,56682903
Live Animals,China,Stocks,Cattle,1976,Head,55685850
Live Animals,China,Stocks,Cattle,1977,Head,53976936
Live Animals,China,Stocks,Cattle,1978,Head,52835851
Live Animals,China,Stocks,Cattle,1979,Head,52625386
Live Animals,China,Stocks,Cattle,1980,Head,52496213
Live Animals,China,Stocks,Cattle,1981,Head,52600332
Live Animals,China,Stocks,Cattle,1982,Head,53915814
Live Animals,China,Stocks,Cattle,1983,Head,57011528
Live Animals,China,Stocks,Cattle,1984,Head,59022646
Live Animals,China,Stocks,Cattle,1985,Head,62714199
Live Animals,China,Stocks,Cattle,1986,Head,66993286
Live Animals,China,Stocks,Cattle,1987,Head,70965348
Live Animals,China,Stocks,Cattle,1988,Head,73226276
Live Animals,China,Stocks,Cattle,1989,Head,76257800
Live Animals,China,Stocks,Cattle,1990,Head,77909675
Live Animals,China,Stocks,Cattle,1991,Head,78892082
Live Animals,China,Stocks,Cattle,1992,Head,79419452
Live Animals,China,Stocks,Cattle,1993,Head,79788520
Live Animals,China,Stocks,Cattle,1994,Head,83647808
Live Animals,China,Stocks,Cattle,1995,Head,87503331
Live Animals,China,Stocks,Cattle,1996,Head,89527728
Live Animals,China,Stocks,Cattle,1997,Head,90835401
Live Animals,China,Stocks,Cattle,1998,Head,91513292
Live Animals,China,Stocks,Cattle,1999,Head,91736943
Live Animals,China,Stocks,Cattle,2000,Head,94113959
Live Animals,China,Stocks,Cattle,2001,Head,98647081
Live Animals,China,Stocks,Cattle,2002,Head,98316476
Live Animals,China,Stocks,Cattle,2003,Head,101781189
Live Animals,China,Stocks,Cattle,2004,Head,106915010
Live Animals,China,Stocks,Cattle,2005,Head,109825483
Live Animals,China,Stocks,Cattle,2006,Head,113261391
Live Animals,China,Stocks,Cattle,2007,Head,116857855
Live Animals,China,Stocks,Cattle,2008,Head,118131275
Live Animals,China,Stocks,Cattle,2009,Head,119551851
Live Animals,China,Stocks,Cattle,2010,Head,121431451
Live Animals,China,Stocks,Cattle,2011,Head,114899758
Live Animals,China,Stocks,Cattle,2012,Head,114116385
Live Animals,China,Stocks,Cattle,2013,Head,113644709
Live Animals,China,Stocks,Cattle,2014,Head,114112087
Live Animals,China,Stocks,Chickens,1961,1000 Head,540850
Live Animals,China,Stocks,Chickens,1962,1000 Head,554423
Live Animals,China,Stocks,Chickens,1963,1000 Head,570972
Live Animals,China,Stocks,Chickens,1964,1000 Head,586801
Live Animals,China,Stocks,Chickens,1965,1000 Head,590895
Live Animals,China,Stocks,Chickens,1966,1000 Head,599261
Live Animals,China,Stocks,Chickens,1967,1000 Head,607553
Live Animals,China,Stocks,Chickens,1968,1000 Head,615798
Live Animals,China,Stocks,Chickens,1969,1000 Head,627882
Live Animals,China,Stocks,Chickens,1970,1000 Head,640631
Live Animals,China,Stocks,Chickens,1971,1000 Head,651052
Live Animals,China,Stocks,Chickens,1972,1000 Head,674403
Live Animals,China,Stocks,Chickens,1973,1000 Head,683094
Live Animals,China,Stocks,Chickens,1974,1000 Head,705947
Live Animals,China,Stocks,Chickens,1975,1000 Head,711191
Live Animals,China,Stocks,Chickens,1976,1000 Head,758122
Live Animals,China,Stocks,Chickens,1977,1000 Head,777491
Live Animals,China,Stocks,Chickens,1978,1000 Head,820365
Live Animals,China,Stocks,Chickens,1979,1000 Head,849693
Live Animals,China,Stocks,Chickens,1980,1000 Head,921146
Live Animals,China,Stocks,Chickens,1981,1000 Head,968131
Live Animals,China,Stocks,Chickens,1982,1000 Head,1031387
Live Animals,China,Stocks,Chickens,1983,1000 Head,1115858
Live Animals,China,Stocks,Chickens,1984,1000 Head,1186501
Live Animals,China,Stocks,Chickens,1985,1000 Head,1266892
Live Animals,China,Stocks,Chickens,1986,1000 Head,1435251
Live Animals,China,Stocks,Chickens,1987,1000 Head,1643609
Live Animals,China,Stocks,Chickens,1988,1000 Head,1850839
Live Animals,China,Stocks,Chickens,1989,1000 Head,1984099
Live Animals,China,Stocks,Chickens,1990,1000 Head,2083061
Live Animals,China,Stocks,Chickens,1991,1000 Head,2307975
Live Animals,China,Stocks,Chickens,1992,1000 Head,2443192
Live Animals,China,Stocks,Chickens,1993,1000 Head,2696795
Live Animals,China,Stocks,Chickens,1994,1000 Head,3002174
Live Animals,China,Stocks,Chickens,1995,1000 Head,3137449
Live Animals,China,Stocks,Chickens,1996,1000 Head,3474548
Live Animals,China,Stocks,Chickens,1997,1000 Head,3983955
Live Animals,China,Stocks,Chickens,1998,1000 Head,3120365
Live Animals,China,Stocks,Chickens,1999,1000 Head,3422110
Live Animals,China,Stocks,Chickens,2000,1000 Head,3623012
Live Animals,China,Stocks,Chickens,2001,1000 Head,3769485
Live Animals,China,Stocks,Chickens,2002,1000 Head,4098910
Live Animals,China,Stocks,Chickens,2003,1000 Head,3980546
Live Animals,China,Stocks,Chickens,2004,1000 Head,4214648
Live Animals,China,Stocks,Chickens,2005,1000 Head,4445244
Live Animals,China,Stocks,Chickens,2006,1000 Head,4451868
Live Animals,China,Stocks,Chickens,2007,1000 Head,4711583
Live Animals,China,Stocks,Chickens,2008,1000 Head,5030399
Live Animals,China,Stocks,Chickens,2009,1000 Head,5222198
Live Animals,China,Stocks,Chickens,2010,1000 Head,5302720
Live Animals,China,Stocks,Chickens,2011,1000 Head,4710988
Live Animals,China,Stocks,Chickens,2012,1000 Head,4916571
Live Animals,China,Stocks,Chickens,2013,1000 Head,4835178
Live Animals,China,Stocks,Chickens,2014,1000 Head,4632640
Live Animals,China,Stocks,Pigs,1961,Head,85618571
Live Animals,China,Stocks,Pigs,1962,Head,78919826
Live Animals,China,Stocks,Pigs,1963,Head,103320264
Live Animals,China,Stocks,Pigs,1964,Head,134796051
Live Animals,China,Stocks,Pigs,1965,Head,155444622
Live Animals,China,Stocks,Pigs,1966,Head,170095211
Live Animals,China,Stocks,Pigs,1967,Head,196735966
Live Animals,China,Stocks,Pigs,1968,Head,193370100
Live Animals,China,Stocks,Pigs,1969,Head,182011964
Live Animals,China,Stocks,Pigs,1970,Head,175964162
Live Animals,China,Stocks,Pigs,1971,Head,209523353
Live Animals,China,Stocks,Pigs,1972,Head,253962438
Live Animals,China,Stocks,Pigs,1973,Head,267884293
Live Animals,China,Stocks,Pigs,1974,Head,261912925
Live Animals,China,Stocks,Pigs,1975,Head,263974883
Live Animals,China,Stocks,Pigs,1976,Head,284924443
Live Animals,China,Stocks,Pigs,1977,Head,291384746
Live Animals,China,Stocks,Pigs,1978,Head,296030859
Live Animals,China,Stocks,Pigs,1979,Head,306139815
Live Animals,China,Stocks,Pigs,1980,Head,325677744
Live Animals,China,Stocks,Pigs,1981,Head,310723041
Live Animals,China,Stocks,Pigs,1982,Head,298975558
Live Animals,China,Stocks,Pigs,1983,Head,306472119
