Domain,Area,Element,Item,Year,Unit,Value
Live Animals,Germany,Stocks,Cattle,1961,Head,17542592
Live Animals,Germany,Stocks,Cattle,1962,Head,17824288
Live Animals,Germany,Stocks,Cattle,1963,Head,17862288
Live Animals,Germany,Stocks,Cattle,1964,Head,17627696
Live Animals,Germany,Stocks,Cattle,1965,Head,17735488
Live Animals,Germany,Stocks,Cattle,1966,Head,18442496
Live Animals,Germany,Stocks,Cattle,1967,Head,18891600
Live Animals,Germany,Stocks,Cattle,1968,Head,18999696
Live Animals,Germany,Stocks,Cattle,1969,Head,19170192
Live Animals,Germany,Stocks,Cattle,1970,Head,19457408
Live Animals,Germany,Stocks,Cattle,1971,Head,19216160
Live Animals,Germany,Stocks,Cattle,1972,Head,18930864
Live Animals,Germany,Stocks,Cattle,1973,Head,19271360
Live Animals,Germany,Stocks,Cattle,1974,Head,19845504
Live Animals,Germany,Stocks,Cattle,1975,Head,20014880
Live Animals,Germany,Stocks,Cattle,1976,Head,20024928
Live Animals,Germany,Stocks,Cattle,1977,Head,19967808
Live Animals,Germany,Stocks,Cattle,1978,Head,20312288
Live Animals,Germany,Stocks,Cattle,1979,Head,20579216
Live Animals,Germany,Stocks,Cattle,1980,Head,20645840
Live Animals,Germany,Stocks,Cattle,1981,Head,20791952
Live Animals,Germany,Stocks,Cattle,1982,Head,20741296
Live Animals,Germany,Stocks,Cattle,1983,Head,20788576
Live Animals,Germany,Stocks,Cattle,1984,Head,21319520
Live Animals,Germany,Stocks,Cattle,1985,Head,21535968
Live Animals,Germany,Stocks,Cattle,1986,Head,21453088
Live Animals,Germany,Stocks,Cattle,1987,Head,21108928
Live Animals,Germany,Stocks,Cattle,1988,Head,20607440
Live Animals,Germany,Stocks,Cattle,1989,Head,20369056
Live Animals,Germany,Stocks,Cattle,1990,Head,20287824
Live Animals,Germany,Stocks,Cattle,1991,Head,19488000
Live Animals,Germany,Stocks,Cattle,1992,Head,17133800
Live Animals,Germany,Stocks,Cattle,1993,Head,16207340
Live Animals,Germany,Stocks,Cattle,1994,Head,15896620
Live Animals,Germany,Stocks,Cattle,1995,Head,15962237
Live Animals,Germany,Stocks,Cattle,1996,Head,15889915
Live Animals,Germany,Stocks,Cattle,1997,Head,15759573
Live Animals,Germany,Stocks,Cattle,1998,Head,15227152
Live Animals,Germany,Stocks,Cattle,1999,Head,14942024
Live Animals,Germany,Stocks,Cattle,2000,Head,14657901
Live Animals,Germany,Stocks,Cattle,2001,Head,14567737
Live Animals,Germany,Stocks,Cattle,2002,Head,14226600
Live Animals,Germany,Stocks,Cattle,2003,Head,13643703
Live Animals,Germany,Stocks,Cattle,2004,Head,13195800
Live Animals,Germany,Stocks,Cattle,2005,Head,13034500
Live Animals,Germany,Stocks,Cattle,2006,Head,12747900
Live Animals,Germany,Stocks,Cattle,2007,Head,12686644
Live Animals,Germany,Stocks,Cattle,2008,Head,12969674
Live Animals,Germany,Stocks,Cattle,2009,Head,12944903
Live Animals,Germany,Stocks,Cattle,2010,Head,12809492
Live Animals,Germany,Stocks,Cattle,2011,Head,12562600
Live Animals,Germany,Stocks,Cattle,2012,Head,12477389
Live Animals,Germany,Stocks,Cattle,2013,Head,12587020
Live Animals,Germany,Stocks,Cattle,2014,Head,12742190
Live Animals,Germany,Stocks,Chickens,1961,1000 Head,96944
Live Animals,Germany,Stocks,Chickens,1962,1000 Head,101716
Live Animals,Germany,Stocks,Chickens,1963,1000 Head,101839
Live Animals,Germany,Stocks,Chickens,1964,1000 Head,112544
Live Animals,Germany,Stocks,Chickens,1965,1000 Head,115773
Live Animals,Germany,Stocks,Chickens,1966,1000 Head,120284
Live Animals,Germany,Stocks,Chickens,1967,1000 Head,126198
Live Animals,Germany,Stocks,Chickens,1968,1000 Head,126532
Live Animals,Germany,Stocks,Chickens,1969,1000 Head,127906
Live Animals,Germany,Stocks,Chickens,1970,1000 Head,138879
Live Animals,Germany,Stocks,Chickens,1971,1000 Head,141635
Live Animals,Germany,Stocks,Chickens,1972,1000 Head,142873
